key;ENGLISH;x
bulgaria_yug_1_title;Unite with the Serbians;x;
bulgaria_yug_1_desc;The people of the Balkans have long been split apart by different empires treating us as their playground. We have been conditioned to think of ourselves as different, as enemies, but the truth is that we have far more in common than we don't. We could forge a new path, one that would end the endless war and subjugation forced upon us by our neighbours. The Cappadocians attention is diverted by the current war with Rum, and Hungary is entirely focused on the current struggle between Pomerania and the Holy Slavic Emperor. The path to a united Balkan nation lies open for us, the question is just if we wish to walk it. §GThis decision will lock you into the Balkan path.§!;x;
bulgaria_yug_2_title;The Rights of Serbs and Men;x;
bulgaria_yug_2_desc;What is a Serb, if not a man? Long have Bulgarian academia supported the idea that us Bulgarians are superior to the other Balkan peoples due to our Alexandrian ancestry, yet this is a lie. We are not superior to the Serbs, they are our brothers, a kindred people. The Serbs and Bulgarians make up roughly half of the people in the Balkans, a future with a united Balkans is a future where the Serbs are our equal. It is time for us to commit to this future, and grant them the same rights and privileges as the Bulgarians.;x;
bulgaria_yug_3_title;The Principality of Croatia;x;
bulgaria_yug_3_desc;The Principality of Croatia has long been a de jure part of the Hungarian crownlands. The Magyars have been able to use it as a foothold in the Balkans to assert their influence over us, a united balkan nation will never be possible as long as the Croats remain under Magyar rule. Removing the Principality from their domain would loosen their grip over our peninsula and let every Slavic man, woman, and child rest easier at night.;x;
bulgaria_yug_4_title;The Zagreb Reform;x;
bulgaria_yug_4_desc;The Bulgar Empire's flag now proudly flies next to the Croatian flag in Zagreb. The Magyar menace has been forced out and Croatia is finally free. We have arrived not as conquerors, but as liberators, and to prove ourselves we will proclaim the croats and slovenes our equals, grant them the right to vote and add the Croats to our administration.;x;
bulgaria_yug_5_title;Form the Balkan Confederation;x;
bulgaria_yug_5_desc;We now hold all the lands of the Bulgars, Albanians, Serbs, Croats and Slovenes. We can finally proclaim an independent and united Balkan nation, a statement to the world that the future of the Balkans will be decided by the Slavic people. Although lots of blood had to be shed for us to achieve this, the future will prove to every nay sayer that it was worth it. No brothers shall ever have to take arms up against one another again. Let our celebrations be heard throughout the world and make those that wish to subjugate us tremble with fear, for our people have a long list of grudges and are unlikely to ever forget them.;x;
bulgaria_yug_6_title;The Fertile Lands of Romania;x;
bulgaria_yug_6_desc;With the rest of the Balkans liberated and united we can now turn our attention to those of us that remain divided. The Magyar's still oppress the Romanian people living in Transylvania, and the lands of Wallachia and Moldavia are yet to be united with their fellow Slavic brothers. If we were to seize the de jure capitals of both duchies, include them in our market or vassalize them, we could finally remedy this.;x;
bulgaria_yug_7_title;The Confederation Expands;x;
bulgaria_yug_7_desc;With our recent conquests we have liberated the lands of the Romanians. With a simple declaration we can add the Romanian Crown to the confederation, and with it acknowledge the Romanians as our brothers, in blood and spirit.;x;
bulgaria_yug_8_title;The Greek Question;x;
bulgaria_yug_8_desc;The Greeks have long been considered to differ in many ways from the rest of the Balkan peoples. Their culture, language, beliefs, and history are all radically different. Despite being one of our main adversaries for most of our history, one must ask how much choice the people of Greece proper have had in the matter. Their kings, government and politics were all decided in Constantinople by the Eastern Greek ruling class. The justification to take the land is weak, but is it not our duty as protector of the rights and guardian of the Balkans to liberate the Greeks from their unhappy union?;x;
bulgaria_yug_9_title;The Greek Answer;x;
bulgaria_yug_9_desc;From Athens to Constantinople people cry out in joy, hailing us as heroes and liberators. All the sons and daughters of Alexander the Great have been united, and all those that would seek to crush us have been destroyed. We stand tall and defiant despite the odds: unbent, unbowed, and unbroken.;x;
bulgaria_blacksea_1_title;The Romanian Conquest;x;
bulgaria_blacksea_1_desc;The Balkans may be our homeland but our ambition must be securing a better life for our people, not our supposed blood brothers. The riches of the Black Sea lay open for us to seize, and a first step to securing our position here would be adding the lands of Wallachia and Romania to our ranks.§GThis decision will lock you into the Black Sea path.§!;x;
bulgaria_blacksea_2_title;Expanding the Crimean Ports;x;
bulgaria_blacksea_2_desc;The Province of Crimea has been a valuable trading outpost for us, and expanding our land in the area would let us acquire even more riches from the lucrative trade with the Cossacks and Lithuanians. Luhansk would be a good addition to our empire.;x;
bulgaria_blacksea_3_title;The Fate of Rostov;x;
bulgaria_blacksea_3_desc;The northern regions of the Black Sea are now firmly under our control, if we were to add the lands of the Rostov Host to ours we could secure a monopoly on trade between the Greeks and Armenians and the Ukrainians.;x;
bulgaria_blacksea_4_title;Integrate the Romanians;x;
bulgaria_blacksea_4_desc;Our armies need soldiers, our navy sailors and our traders need merchants. If we were to give the Romanians more rights in our nation, we could solve all these issues at once. The Bulgarians will remain the rulers of our nation, but every empire needs local supporters if they wish for stability.;x;
bulgaria_blacksea_5_title;The Breadbasket of Europe;x;
bulgaria_blacksea_5_desc;With the recent additions to our empire we have encountered a queer issue. The Ukrainians make up a sizeable portion of our people but have no protections, privileges or rights. If we wish for our people to live like kings, we need the frontier of the empire to be stable. If we were to give certain rights and protections from assimilation we could ensure that the Ukrainians would rather stay loyal than fight for an independent Ukrainian state.;x;
bulgaria_blacksea_6_title;Form the Black Sea Federation;x;
bulgaria_blacksea_6_desc;We have carved ourselves a place in history and a seat at the negotiating table with the other major powers of Europe. All trade via the Black Sea is controlled by us and we have a strong and mighty nation. The final piece to the puzzle would be the declaration of a new state with a legal claim to all of our land, and a statement about who we are. We are no longer just rulers of Bulgaria and Albania, we are lords of an entire sea. To not claim it as ours would be a disgrace! Long live the Black Sea Federation!;x;
bulgaria_blacksea_7_title;The Groznian Annexation;x;
bulgaria_blacksea_7_desc;While we rule over the Black Sea and control all the trade flowing through it, the nation of Grozny lets some trade slip through our fingers via land routes. If we annex them into our Federation we could destroy this workaround, and we could also increase our trade with Persia and the princes of India.;x;
bulgaria_blacksea_8_title;Negotiate with the Lithuanians;x;
bulgaria_blacksea_8_desc;Our empire is vast and large, and we are rich beyond belief. There is however the unease regarding our very exposed land connection to the rest of our empire. With one swift stroke a foreign power could cut us off from reaching our most valuable holdings. To remedy this some in our government have proposed negotiating with Lithuania to cede some of their land to us in return for payment. §RThis will trigger an event letting you choose what payment you wish to offer, 20 infamy or 5 million pounds. If they accept the infamy offer they will lose 30 infamy and you will gain 20, and if they accept the monetary offer you will pay them 5 million pounds. If they reject the deal you will not get cores or claims on the area.§!;x;
101100D;The addition of certain lands to our federation would help us secure our position, the question is what do we wish to offer the Lithuanians?;x;
101101D;The Black Sea Federation has sent us an offer to purchase some of our land in exchange for their diplomatic support in foreign affairs. This would let us expand with more ease, as they would cover for us and take some of the international blame. It should be stated however that giving up this land would make subjecting their lands to our rule a more complex affair. How should we respond? §RIf you accept the deal you will keep your cores on the land and lose 30 infamy, and the Black Sea Federation will gain 20 infamy, the land and also get cores on it. If you reject the deal they will get no cores and will not be able to offer you the deal again.§!;x;
101102D;The Black Sea Federation has sent us an offer to purchase some of our land in exchange for their economic support. This would let us build up our nations potential, and could potentially be the deciding factor in us being able to exert further control over the Eastern lands. It should be stated however that giving up this land would make subjecting their lands to our rule a more complex affair. How should we respond? §RIf you accept the deal you will keep your cores on the land and gain 5 million pounds. The Black Sea Federation will lose 5 million pounds, gain the land and also get cores on it. If you reject the deal they will get no cores and will not be able to offer you the deal again.§!;x;
101103D;The Lithuanians, foolish as they are, have decided to reject our generous offer. One must wonder if it was out of sheer stupidity or due to sinister ambitions on our lands. Regardless, we will not offer them such a deal again.;x;
101104D;They say that there is no better business associate than a Bulgarian, and we have just proved it. Through shrewd diplomacy and mastering the art of the deal we have achieved a great success! The lands of the Federation are now far more secure than they used to be, and our merchants can rest assured that no harm will come to their investments.;x;
101105D;They say that there is no better business associate than a Bulgarian, and we have just proved it. Through shrewd diplomacy and mastering the art of the deal we have achieved a great success! The lands of the Federation are now far more secure than they used to be, and our merchants can rest assured that no harm will come to their investments.;x;
