key;ENGLISH;x
unite_south_germany_title;Unite South Germany;x;
unite_south_germany_desc;The Swabian Germans have long enjoyed unique rights and privileges in the Empire thanks to our catholic faith. This has led us to be complacent with our current situation, yet there is war on the horizon. A storm is brewing in the eastern parts of the Empire, with the Pomeranian King challenging the status quo of imperial rule more and more. No matter the outcome, the Swabians must unite to make sure that our rights are not trampled upon by the Slavic powers of the Empire.;x;
rhenish_declaration_title;The Rhenish Declaration;x;
rhenish_declaration_desc;With the Swabians united at last, we can start dreaming of a united German state. To start our path to freedom we should seek to liberate our Rhenish brothers, as they are one of the few areas of the Empire that is still predominantly German.;x;
sgf_more_rhineland_title;Unite the remaining Rhineland;x;
sgf_more_rhineland_desc;We must push our advantage and seize the remainings parts of the Rhineland that is not part of our nation. The existance of a united Germany grows closer with every day.;x;
sgf_rhenish_accepted_title;The Rhenish Germans;x;
sgf_rhenish_accepted_desc;Let it be known far and wide, the Rhenish are our brothers in blood, culture and history. No nation shall ever be allowed to subjugate the German people ever again.;x;
sgf_germany_1_title;Begin the War of National Liberation;x;
sgf_germany_1_desc;The time has come. With the Rhineland and Swabia combined we can finally push out the foreign dogs that stole our nation and destiny from us. The Rhine shall run red with their blood!;x;
sgf_germany_2_title;Let the Eagle Rise;x;
sgf_germany_2_desc;With the defeat of the Slavic powers we are now finally in a position to proclaim the formation of an independent German state. From the Danube to the Rhine and to the Elbe, the only flag that will fly is the German Eagle.;x;
