key;ENGLISH;x
101216D;Rhenish and German nationalists have gathered across beer halls all over the Rhineland. They have proclaimed that our eastern holdings shall become independent from the oversight of Brussels. Military goods and other important resources have mysteriously started dissapearing in the region, so we suspect that they are preparing to take up arms in open rebellion. Due to the delicate situation in our country we are unable to send in the army at this moment, with the fear being that if we act first we might end up bolstering the ranks of the traitors. We will have to wait and prepare for the worst.;x;
101217D;French and Picard nationalists have gathered across cafés all over West Francia. They have proclaimed that our western holdings shall become independent from the oversight of Brussels. Military goods and other important resources have mysteriously started dissapearing in the region, so we suspect that they are preparing to take up arms in open rebellion. Due to the delicate situation in our country we are unable to send in the army at this moment, with the fear being that if we act first we might end up bolstering the ranks of the traitors. We will have to wait and prepare for the worst.;x;
101218D;Liberals have started protesting against the King and the current government all across the Netherlands, the Capital, and Picardy. They claim that we are corrupt and deliberately missmanaging the current crisis due to personal interests instead of doing what is best for the country. They also claim we are unwilling to give more power to parliament and that we have shown that peaceful reform is not a possibility. We cannot send in the army to deal with the protestors due to a fear of such an act confirming their claims of despotism. Spies planted within the protests do however report that the protests are likely to turn into a fullscale revolution soon.;x;
101219D;Due to our handling of the Religious crisis our nation has been facing the Rhenish have grown disloyal, seeing the king and his government as enablers of the violence commited by the Catholic League. However, Lotharingia is a mighty nation and we will not give in to the demands of these rebels! We will march into the Rhineland and root them out of their homes and forts! One Kingdom, indivisible! For God, King and Country, to war!;x;
101220D;Due to our handling of the Religious crisis our nation has been facing the French have grown disloyal, seeing the king and his government as enablers of the atrocities commited by the Faith Militant. However, Lotharingia is a mighty nation and we will not give in to the demands of these rebels! We will march into our stolen land and root them out of their homes and forts! One Kingdom, indivisible! For God, King and Country, to war!;x;
101221D;The Liberal protests have grown to a full scale rebellion! Our lack of reforms and mismanagement of several crises has led to the Liberal factions declaring that peaceful reform is not possible, and that the rights of man can only be protected with blood and iron. The Capital and our Dutch lands have been seized by the rebellion, with Picardy being somewhat supportive of it. This civil war may be the greatest crisis this nation has faced since the Great German Revolution.;x;
101231D;The Liberal protests have grown to a full scale rebellion! Our lack of reforms and mismanagement of several crises has led to the Liberal factions declaring that peaceful reform is not possible, and that the rights of man can only be protected with blood and iron. The Capital and our Dutch lands have been seized by the rebellion, with Picardy being somewhat supportive of it. This civil war may be the greatest crisis this nation has faced since the Great German Revolution.;x;
101232D;The Liberal protests have grown to a full scale rebellion! Our lack of reforms and mismanagement of several crises has led to the Liberal factions declaring that peaceful reform is not possible, and that the rights of man can only be protected with blood and iron. The Capital and our Dutch lands have been seized by the rebellion, with Picardy being somewhat supportive of it. This civil war may be the greatest crisis this nation has faced since the Great German Revolution.;x;
101222D;Our Kingdom has fallen. The failure to address the Religious and Reform crises has led to a full scale civil war erupting across our nation. In the East the Rhenish have taken up arms under the banner of East Francia, in the West the French have done the same under the banner of West Francia. The Dutch have declared independence and a Liberal revolution has erupted in our capital due to the collapse of our armed forces. The king has been caught by the revolutionaries and will soon be executed for crimes against the people of Lotharingia, and the government has been overthrown. Lotharingia has fallen.;x;
101223D;The civil war has begun. The Netherlands, East Francia and West Francia all seek independence from the Lotharingian republic. West and East Francia are also at war with eachother over the region of Lorraine.§GYou can now select what nation to play as. The only choice with content post civil war is the Revolution.§!;x;
