key;ENGLISH;x
SCL;Shia Caliphate;x;
SCL_ADJ;Shiite;x;
sunni_align_ourselves_with_rashiduns_title;Align ourselves with the Rashidun Caliphate;x;
sunni_align_ourselves_with_rashiduns_desc;The muslim world is in a curious situation at the moment. There are three states proclaiming themselves as caliphates and the true leaders of Islam. However, there clearly can only be one. Out of the three, the Rashidun Caliphate, as the sovereign of the holy city of Mecca and defender of traditional muslim values clearly has the strongest claim to the title of leader of Islam. We should align our scholarly traditions with theirs and propagate a traditional interpretation of the quoran.;x;
shiite_align_ourselves_with_rashiduns_title; Align ourselves with the Rashidun Caliphate;x;
shiite_align_ourselves_with_rashiduns_desc;The muslim world is in a curious situation at the moment. There are three states proclaiming themselves as caliphates and the true leaders of Islam. While we cannot fully support either of the three states claims, given that none of them follows the true version of Islam, we have to recognize their dominant position in the muslim world. Still, one of them clearly holds a stronger claim to leading Islam than the others. Clearly this is the Rashidun Caliphate, which not only controls the holy city of Mecca, but also is a staunch defender of traditional muslim values. We should align our scholarly traditions with theirs and propagate a traditional interpretation of the quoran.;x;
sunni_align_ourselves_with_umayyads_ala_title;Alight ourselves with the Umayyad Caliphate;x;
sunni_align_ourselves_with_umayyads_ala_desc;The muslim world is in a curious situation at the moment. There are three states proclaiming themselves as caliphates and the true leaders of Islam. Out of the three, the Umayyad Caliphate, the military bulwark of Islam, which pushed back the christian infidels and conquered Iberia through faith and steel, clearly holds the strongest claim to the title of leader of Islam. We should align our scholarly traditions with theirs and propagate a militarist interpretation of the quoran.;x;
sunni_align_ourselves_with_umayyads_hna_title;Alight ourselves with the Umayyad Caliphate;x;
sunni_align_ourselves_with_umayyads_hna_desc;The muslim world is in a curious situation at the moment. There are three states proclaiming themselves as caliphates and the true leaders of Islam. Out of the three, the Umayyad Caliphate, the military bulwark of Islam, which pushed back the christian infidels and conquered Iberia through faith and steel, clearly holds the strongest claim to the title of leader of Islam. We should align our scholarly traditions with theirs and propagate a militarist interpretation of the quoran.;x;
shiite_align_ourselves_with_umayyads_hna_title;Alight ourselves with the Umayyad Caliphate;x;
