key;ENGLISH;x 
integrate_croatia_title;Integrate Croatia;x;
integrate_croatia_desc;The union between Croatia and Hungary has existed since the late medieval period, it has been a highly stable union that has stood tall through thick and thin, but it does come with some downsides. Our armies operate independently, our taxation work independently and our two governments are only united in the monarch and foreign policy. The Croatian administration is horribly conveluted, and the need to constantly appease the Croatian nobles only constrains our territorial growth and political reforms. However, recently the liberal upper and middle class in Croatia has realized that the nobles will never agree to liberalize the country, which has given us political base that would support our annexation of the country. This would be a great first step towards consolidating Magyar rule over the Balkans...;x;
sign_the_pacta_conventa_title;Reform the Pacta Conventa;x;
sign_the_pacta_conventa_desc;The Pacta Conventa is an agreement between Hungary and Croatia that was signed in the 11th century. The document established the personal union between the two kingdoms, and in exchange for Croatian loyalty we guaranteed their nobility exemption from taxes, the ability to maintain an independent viceroy and certain other political rights. This agreement is what has constrained our rule over Croatia for so long, while we have finally merged the kingdoms into one nation, the Pacta Conventa still stops us from having a unified political body to represent Hungarians and Croatians alike. With the support of the liberals we can modify the agreement to protect lesser rights of all Croatians, instead of protecting major rights of the nobility. This way, the commoners will love the new order of things and see themselves as willing citizens of Hungary!;x;
supplex_libellus_valachorum_title;Supplex Libellus Valachorum;x;
supplex_libellus_valachorum_desc;The Supplex Libellus Valachorum is the name of a petition that was submitted by the Romanians of Transylvania to the Hungarian diet during the Grand German Revolt. The petition demanded equal rights for Romanians and ascencion to the national diet in Budepest. The petition was denied at the time, but after the outbreak of nationalism across Europa the king now sees it as beneficial to quell any potential secessionist movements. By signing the petition we will be forced to listen to "Romanian" "people" but in exchange we will get a steady supply of bodies to grind against the Bohemian and Polish armies should they dare invade us.;x;
reforming_the_decree_of_turda_title;Scrapping the Decree of Turda;x;
reforming_the_decree_of_turda_desc;In the past when we were constantly fighting the Romanians King Louis I of Hungary signed a decree strengthening the Transylvanian nobles to take "actions" against any kind of activity that was suspected to have Romanian influence behind it. This law, while beneficial for our spy network, is seen as quite discriminatory, and while it remains we will not be able to integrate the Romanian people. By scrapping it we can show our commitment to embracing the enlightenment and forging a new nation, a nation of equals. (That are equally subservient to the Crown, that is.);x;
expanding_the_unio_trium_nationum_accord_title;Expanding the Unio Trium Nationum Accord;x;
expanding_the_unio_trium_nationum_accord_desc;The Unio Trium Nationum was originally the name of a political alliance between different feudal estates against the Transylvanian peasantry, but over time it has taken on the colloquial meaning of the union between Hungary, Croatia and Romania against Greek influence. The political alliance has worked well, but now that we have united the 3 political entities as one nation, we are left with a "Unio Unius Nationis" which is not as menacing. The rise of the Greek threat has however made certain actors within Serbia and Bulgaria vary, but if we were to perhaps annex their lands and give their people a taste of our liberal constitution, we could expand the alliance, or rather Hungary, to encompass nearly the entire Balkan region!;x;
adapt_policy_magyarization_title;Adapt Policy of Magyarization;x;
adapt_policy_magyarization_desc;Liberalism has brought nothing but decay to the Hungarian peoples. That a Croat or Transylvanian is to be seen as equal to a Magyar is ridiculous, and this kind of stupid idea is what led to the rise of Fascism. With the tools at the governments disposal we can finally adapt a policy of Magyarization, which will hopefully eradicate these vermin from our lands once and for all.;x;
